dataset	gene	UTRPRISM	Sequence-only	Zero coverage	miRanda	tg_repression	wt_mean
GSE83684	Srebf1	0.4534538062468754	0.4255653103756118	0.4538282861060375	0.3069082822012541	0.1696403923030436	54.498
GSE83684	Srebf2	0.096947935368043	0.0673249551166965	0.0484739676840215	0.0658288450029922	-0.4679527464277635	79.1487
GSE83684	Ssr2	0.1522650526912575	0.2468216984869809	0.1891986651879628	0.142135019586195	-0.4391390671917365	113.208
GSE83684	Stt3a	0.184519126675139	0.2789376833715486	0.2691305975250864	0.1746722566271514	0.4466322514683716	69.3329
GSE83684	Stx7	0.1316576900059844	0.1098144823459006	0.1298623578695392	0.0788450029922202	-0.3332506005277267	27.8046
GSE83684	Taf10	0.060440547431588	0.1259323987796532	0.3458321475172667	0.1629394106059234	-0.0717800856437866	201.886
GSE83684	Tardbp	0.2831354584406778	0.1885890415519047	0.2063923659892926	0.2075902613856271	0.613941122640024	71.4053
GSE83684	Tfam	0.0643086976630843	0.1025245718472691	0.2159670176101692	0.1056100399349502	0.6386056447051791	21.7306
GSE83684	Tgs1	0.2689989407043073	0.2809595329152514	0.2508143646463792	0.1450961571935129	0.2161053405688782	17.4436
GSE83684	Thoc7	0.1663674446439258	0.1660682226211849	0.1484141232794733	0.109964093357271	0.7970894838666016	88.8226
GSE83684	Thop1	0.0356074207061639	0.0754039497307001	0.0466786355475763	0.0070317175344105	-0.2424560449922808	35.118
GSE83684	Timm13	0.0966487133453022	0.1086175942549371	0.111310592459605	0.0243865948533812	0.2715190568252241	94.4405
GSE83684	Timm17b	0.0454817474566128	0.0481747456612806	0.0409934171154997	0.0788450029922202	-0.2821502272173033	25.5179
GSE83684	Tle4	0.1244763614602034	0.1307600239377618	0.1597845601436265	0.0858767205266307	-0.047268007594039	18.0389
GSE83684	Tma16	0.1725143839500444	0.2023637419114795	0.17407213155907	0.1394934966839027	0.4371622019273111	44.2296
GSE83684	Tmed8	0.1064787939255797	0.0538551730965069	0.1120380451011897	0.3559552077948703	0.7355017271510995	11.8067
GSE83684	Tmem123	0.1457211250748055	0.1274685816876122	0.1567923399162178	0.1406343506882106	0.2628407491975011	352.074
GSE83684	Tmem135	0.2645519233054164	0.2027431737036901	0.5189673225144987	0.2548067300322377	-0.1075703779887025	10.8044
GSE83684	Tmem38b	0.1310592459605027	0.1107121484141232	0.1169958108916816	0.0330640335128665	0.6016107341025885	52.9254
GSE83684	Tom1	0.0068224278924657	0.0424563724344405	0.0283498361324268	0.1220121313394039	-0.2802354085388536	11.4482
GSE83684	Tomm20	0.0691733349247634	0.0960527559094277	0.0488685097417075	0.2229556339113871	0.2141767111356447	40.6848
GSE83684	Tpd52	0.0371035308198683	0.0550568521843207	0.0332136445242369	0.0243865948533812	-0.0954840891598634	20.2776
GSE83684	Tra2b	0.1535008976660682	0.1433273488928785	0.1367444643925792	0.1229802513464991	0.120670291764787	199.409
GSE83684	Traf2	0.1390340367961587	0.1630265201526614	0.1896118729435763	0.033620563189404	0.278609716978158	23.4372
GSE83684	Trim56	0.0041891083183722	0.0176540993417115	0.0356074207061639	0.0858767205266307	0.0128242628056307	12.9088
GSE83684	Tsnax	0.0371014202752814	0.030641788962478	0.0816602667018447	0.1948092895776974	-0.0569920305787974	22.7221
GSE83684	Tspan3	0.1538382477027871	0.2231226511900085	0.1858815279718714	0.2229556339113871	-1.126670944987859	13.4923
GSE83684	Ttc9c	0.1993896202284033	0.2302186061392733	0.1331488269004742	0.3133575694883054	0.2761395664658153	10.4601
GSE83684	Txndc16	0.09934171154997	0.0035906642728904	0.1163973668461998	0.0330640335128665	0.2985541638440354	16.1064
GSE83684	Ubac2	0.0054630813071609	0.013969772773614	0.046910719110921	0.1220121313394039	-1.0042327194616698	12.1586
GSE83684	Ube2f	0.0832541762608354	0.0749870281865487	0.0234851988707476	0.169781974069635	0.3644764198761923	13.3563
GSE83684	Ube2g1	0.4177830479495671	0.4552985399950708	0.4608252765730729	0.2138499678582326	0.4715359793144724	19.5947
GSE83684	Ube2o	0.0894673847995212	0.09934171154997	0.1277678037103531	0.0330640335128665	0.2129626176101915	22.4367
GSE83684	Ube2r2	0.2147249835253244	0.1339722946021278	0.2930576997860039	0.0706091205666822	-0.1855133361611685	12.3524
GSE83684	Ube2v1	0.0606666434583103	0.1415270435372187	0.2000137592398268	0.0589181424694685	-0.4231329649721118	65.752
GSE83684	Ubp1	0.0810891681627767	0.1128067025733094	0.1379413524835428	0.0070317175344105	-0.0343700079969062	12.137
GSE83684	Ubxn4	0.2381782434921282	0.186402887119528	0.2091188947517618	0.0671119355603409	0.4519942587420056	35.7296
GSE83684	Uck2	0.0182525433871932	0.0535607420706163	0.0724117295032914	0.0243865948533812	-0.213327589837907	85.8088
GSE83684	Ufl1	0.1960467880463703	0.2604408593059706	0.071892028095373	0.2036852383249534	0.1853520327086957	14.2873
GSE83684	Unc45a	0.3207648440901904	0.2790670327188221	0.3192926018810237	0.2213902414034793	-0.0886811457511749	20.1165
GSE83684	Usp24	0.0882704967085577	0.0963494913225613	0.0266307600239377	0.0070317175344105	0.1242904790813952	13.164
GSE83684	Utp14b	0.0607420706163973	0.0454817474566128	0.1125074805505685	0.0712148414123279	0.60158253679421	19.5859
GSE83684	Uxs1	0.1493117893476959	0.1286654697785757	0.16098144823459	0.1451226810293237	0.3119068014808213	19.2513
GSE83684	Vdac2	0.1538001196888091	0.1391382405745062	0.0813883901855176	0.0330640335128665	-0.2563207276237671	181.769
GSE83684	Vps16	0.2339377452418725	0.1847443185114823	0.1477767223501444	0.048615289996701	0.0302055456158694	38.581
GSE83684	Vps53	0.0782527754707566	0.1685175330843408	0.1617721900897003	0.3310763206798059	0.3441928857474696	36.5406
GSE83684	Wdfy1	0.2441535276762906	0.1637000607758349	0.2072194007642386	0.1052027374740072	-2.669545255900105	15.3575
GSE83684	Wdfy2	0.0676241771394374	0.0251346499102333	0.0233393177737881	0.0611909036505086	0.9186404757645512	21.1731
GSE83684	Wdr1	0.139736684619988	0.1101137043686415	0.0819868342309994	0.0243865948533812	0.1273768943169884	165.794
GSE83684	Wtap	0.1499102333931777	0.16098144823459	0.116098144823459	0.0070317175344105	0.3227607572149695	56.9217
GSE83684	Ythdf3	0.238964840997893	0.3131395767127352	0.105021127892963	0.2742908603835015	0.2712357849912101	13.9545
GSE83684	Yy1	0.0324908048063798	0.0763778221567744	0.0319696878004827	0.1025272493763406	0.1669414956573192	76.5645
GSE83684	Zc3h15	0.1184919210053859	0.1538001196888091	0.1202872531418312	0.0176540993417115	0.0237842943384807	74.247
GSE83684	Zfp384	0.2340177263464776	0.2753592881580419	0.3829990159282794	0.2994023890171143	-0.101951965529242	21.8859
GSE83684	Znhit6	0.1192644277233762	0.058683157861582	0.0768080552889357	0.2680581734028921	0.7756560823546566	16.6316
GSE83684	2510002D24Rik	0.1358625162127107	0.1345654993514915	0.1352140077821011	0.1420233463035019	0.0967402550046401	10.7066
GSE83684	Abcf2	0.1465629053177691	0.0992217898832684	0.1485084306095979	0.0723086900129701	-0.5454686981626091	50.9456
GSE83684	Abhd17a	0.12905317769131	0.1271076523994811	0.1102464332036316	0.0723086900129701	-0.6265197985469522	19.7117
GSE83684	Acbd3	0.1245136186770428	0.1387808041504539	0.0920881971465629	0.064526588845655	0.4963366406401608	16.4836
GSE83684	Actr8	0.1582360570687419	0.1335927367055771	0.1478599221789883	0.0363164721141374	0.0936158481182762	15.3523
GSE83684	Aff3	0.1274319066147859	0.1199740596627756	0.0119974059662775	0.0059987029831387	-1.1514393324860397	22.3559
GSE83684	Akap8	0.1569390402075227	0.1355382619974059	0.1650453955901426	0.0945201037613489	-0.1178423599249498	33.8975
